fiscal_year,year,month,phase,sale_period,bond_type,transaction_type,bonds,amount,units
2023-24,2023,April,26,3rd April to 12th April 2023,One Lakh Bond,Sold or Purchased Bonds,69,6900000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,One Lakh Bond,Bonds Transferred to PMNRF,15,1500000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,Ten Lakh Bond,Redeemed or Encashed Bonds,468,468000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,Ten Lakh Bond,Sold or Purchased Bonds,468,468000000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,Ten Thousand Bond,Redeemed or Encashed Bonds,10,100000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,Ten Thousand Bond,Sold or Purchased Bonds,10,100000,"bonds in absolute number, amount is Indian rupees"
2023-24,2023,April,26,3rd April to 12th April 2023,Ten Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,One Crore Bond,Redeemed or Encashed Bonds,300,3000000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,One Crore Bond,Sold or Purchased Bonds,300,3000000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,One Lakh Bond,Redeemed or Encashed Bonds,46,4600000,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,One Lakh Bond,Sold or Purchased Bonds,46,4600000,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,One Thousand Bond,Sold or Purchased Bonds,6,6000,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,One Thousand Bond,Bonds Transferred to PMNRF,6,6000,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,Ten Lakh Bond,Redeemed or Encashed Bonds,83,83000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,Ten Lakh Bond,Sold or Purchased Bonds,83,83000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,Ten Thousand Bond,Sold or Purchased Bonds,2,20000,"bonds in absolute number, amount is Indian rupees"
2022-23,2023,January,25,19th January to 28th January 2023,Ten Thousand Bond,Bonds Transferred to PMNRF,2,20000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,December,24,5th December to 12th December 2022,One Crore Bond,Redeemed or Encashed Bonds,229,2290000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,December,24,5th December to 12th December 2022,One Crore Bond,Sold or Purchased Bonds,229,2290000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,December,24,5th December to 12th December 2022,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,December,24,5th December to 12th December 2022,Ten Lakh Bond,Redeemed or Encashed Bonds,31,31000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,December,24,5th December to 12th December 2022,Ten Lakh Bond,Sold or Purchased Bonds,31,31000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,December,24,5th December to 12th December 2022,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,November,23,9th November to 15th November 2022,One Crore Bond,Redeemed or Encashed Bonds,666,6660000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,November,23,9th November to 15th November 2022,One Crore Bond,Sold or Purchased Bonds,666,6660000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,November,23,9th November to 15th November 2022,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,November,23,9th November to 15th November 2022,One Lakh Bond,Redeemed or Encashed Bonds,143,14300000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,November,23,9th November to 15th November 2022,One Lakh Bond,Sold or Purchased Bonds,143,14300000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,November,23,9th November to 15th November 2022,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,November,23,9th November to 15th November 2022,One Thousand Bond,Redeemed or Encashed Bonds,29,29000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,November,23,9th November to 15th November 2022,One Thousand Bond,Sold or Purchased Bonds,30,30000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,November,23,9th November to 15th November 2022,One Thousand Bond,Bonds Transferred to PMNRF,1,1000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,November,23,9th November to 15th November 2022,Ten Lakh Bond,Redeemed or Encashed Bonds,88,88000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,November,23,9th November to 15th November 2022,Ten Lakh Bond,Sold or Purchased Bonds,88,88000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,November,23,9th November to 15th November 2022,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,November,23,9th November to 15th November 2022,Ten Thousand Bond,Redeemed or Encashed Bonds,27,270000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,November,23,9th November to 15th November 2022,Ten Thousand Bond,Sold or Purchased Bonds,27,270000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,November,23,9th November to 15th November 2022,Ten Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,October,22,1st October to 10th October 2022,One Crore Bond,Redeemed or Encashed Bonds,523,5230000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,October,22,1st October to 10th October 2022,One Crore Bond,Sold or Purchased Bonds,526,5260000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,October,22,1st October to 10th October 2022,One Crore Bond,Bonds Transferred to PMNRF,3,30000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,October,22,1st October to 10th October 2022,One Lakh Bond,Redeemed or Encashed Bonds,25,2500000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,October,22,1st October to 10th October 2022,One Lakh Bond,Sold or Purchased Bonds,25,2500000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,October,22,1st October to 10th October 2022,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,October,22,1st October to 10th October 2022,Ten Lakh Bond,Redeemed or Encashed Bonds,190,190000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,October,22,1st October to 10th October 2022,Ten Lakh Bond,Sold or Purchased Bonds,190,190000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,October,22,1st October to 10th October 2022,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,July,21,1st July to 10th July 2022,One Crore Bond,Redeemed or Encashed Bonds,381,3810000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,July,21,1st July to 10th July 2022,One Crore Bond,Sold or Purchased Bonds,381,3810000000,"bonds in absolute number, amount is Indian rupees"
2022-23,2022,July,21,1st July to 10th July 2022,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
