fiscal_year,political_party,party_status,category,value,unit,note
2019-20,Biju Janata Dal,Recognized State Party,Income through Electoral Bonds,505000000,value in indian rupees,
2019-20,Biju Janata Dal,Recognized State Party,Party's Total Income,903546693,value in indian rupees,
2019-20,Biju Janata Dal,Recognized State Party,"Income through Grants, Donations and Contributions",787007091,value in indian rupees,
2019-20,Bhartiya Janata Party,Recognized National Party,Income through Electoral Bonds,25550001000,value in indian rupees,
2019-20,Bhartiya Janata Party,Recognized National Party,Party's Total Income,36232806093,value in indian rupees,
2019-20,Bhartiya Janata Party,Recognized National Party,"Income through Grants, Donations and Contributions",34277758709,value in indian rupees,
2019-20,Bharat Rashtra Samithi,Recognized State Party,Income through Electoral Bonds,891529000,value in indian rupees,political_party: Bharat Rashtra Samithi was earlier known as Telangana Rashtra Samithi
2019-20,Bharat Rashtra Samithi,Recognized State Party,Party's Total Income,1304612801,value in indian rupees,political_party: Bharat Rashtra Samithi was earlier known as Telangana Rashtra Samithi
2019-20,Bharat Rashtra Samithi,Recognized State Party,"Income through Grants, Donations and Contributions",895574789,value in indian rupees,political_party: Bharat Rashtra Samithi was earlier known as Telangana Rashtra Samithi
2019-20,All India Trinamool Congress,Recognized National Party,Income through Electoral Bonds,1004646000,value in indian rupees,
2019-20,All India Trinamool Congress,Recognized National Party,Party's Total Income,1447339990,value in indian rupees,
2019-20,All India Trinamool Congress,Recognized National Party,"Income through Grants, Donations and Contributions",1085481000,value in indian rupees,
2019-20,All India Anna Dravida Munnetra Kazhagam,Recognized State Party,Income through Electoral Bonds,60500000,value in indian rupees,
2019-20,All India Anna Dravida Munnetra Kazhagam,Recognized State Party,Party's Total Income,896062795,value in indian rupees,
2019-20,All India Anna Dravida Munnetra Kazhagam,Recognized State Party,"Income through Grants, Donations and Contributions",582453118,value in indian rupees,
2019-20,Aam Aadmi Party,Recognized State Party,Party's Total Income,496504706,value in indian rupees,
2019-20,Aam Aadmi Party,Recognized State Party,"Income through Grants, Donations and Contributions",490323193,value in indian rupees,
2019-20,Jammu and Kashmir National Conference,Recognized State Party,Income through Electoral Bonds,5000000,value in indian rupees,
2018-19,Yuvajana Sramika Rythu Congress Party,Recognized State Party,Income through Electoral Bonds,998400000,value in indian rupees,
2018-19,Yuvajana Sramika Rythu Congress Party,Recognized State Party,Party's Total Income,1810825927,value in indian rupees,
2018-19,Yuvajana Sramika Rythu Congress Party,Recognized State Party,"Income through Grants, Donations and Contributions",1810792658,value in indian rupees,
2018-19,Telugu Desam Party,Recognized State Party,Income through Electoral Bonds,275000000,value in indian rupees,
2018-19,Telugu Desam Party,Recognized State Party,Party's Total Income,1149670086,value in indian rupees,
2018-19,Telugu Desam Party,Recognized State Party,"Income through Grants, Donations and Contributions",639633957,value in indian rupees,
2018-19,Sikkim Democratic Front,Recognized State Party,Income through Electoral Bonds,5000000,value in indian rupees,
2018-19,Sikkim Democratic Front,Recognized State Party,Party's Total Income,45527603,value in indian rupees,
2018-19,Sikkim Democratic Front,Recognized State Party,"Income through Grants, Donations and Contributions",34229359,value in indian rupees,
2018-19,Shivsena,Recognized State Party,Income through Electoral Bonds,604020000,value in indian rupees,
2018-19,Shivsena,Recognized State Party,Party's Total Income,1355040295,value in indian rupees,
2018-19,Shivsena,Recognized State Party,"Income through Grants, Donations and Contributions",1309643054,value in indian rupees,
2018-19,Nationalist Congress Party,Recognized National Party,Income through Electoral Bonds,292500000,value in indian rupees,
2018-19,Nationalist Congress Party,Recognized National Party,Party's Total Income,507138340,value in indian rupees,
2018-19,Nationalist Congress Party,Recognized National Party,"Income through Grants, Donations and Contributions",413260000,value in indian rupees,
2018-19,Janata Dal (Secular),Recognized State Party,Income through Electoral Bonds,352500000,value in indian rupees,
